chembl_id,smiles,ic50,ic50_unit,pIC50
CHEMBL4792974,O=C(Nc1ccc2c(c1)Oc1ncccc1C(=O)N2c1ccncc1)Nc1ccc(Cl)c(C(F)(F)F)c1,180.0,nM,6.7447274948966935
CHEMBL4531109,O=C1Nc2ccccc2N/C1=C\C(=O)c1cccc2ccccc12,160.0,nM,6.795880017344075
CHEMBL4795574,N#Cc1ccc2c(c1)N/C(=C\C(=O)c1cccc3ccccc13)C(=O)N2,10000.0,nM,5.0
CHEMBL4846921,CCN1CCN(c2ccc(Nc3ncc4scc(-c5cccc(NS(C)(=O)=O)c5)c4n3)cc2)CC1,4.4,nM,8.356547323513812
CHEMBL4845770,Cc1nc2c(cnn2-c2csc(C(=O)NC3COC3)c2)cc1Nc1c(F)cccc1Cl,247.0,nM,6.607303046740334
CHEMBL4847875,CN(C)c1ccc2c(Oc3ccc(NC(=O)NCc4ccc(C(F)(F)F)nc4)cc3)ncnc2c1,59.7,nM,7.224025668870631
CHEMBL3907057,Cc1cc(C)c(-n2ccn3nc(-c4cccnc4)cc23)cc1NC(=O)c1cc(C#N)cc(S(F)(F)(F)(F)F)c1,0.9,nM,9.045757490560675
CHEMBL4526351,Cc1cc(NC(=O)c2cccc(S(F)(F)(F)(F)F)c2)cc(-n2ccn3nc(-c4cccnc4)cc23)c1,340.0,nM,6.468521082957745
CHEMBL4564126,Cc1cnc(-c2cc(Cl)ccc2F)cc1-n1c(=O)n(CC(N)=O)c2cnccc21,20.0,µM,7.698970004336019
CHEMBL4591082,CS(=O)(=O)N1CCCC(NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc(CNC(=O)c3cnc4ccccn34)cc2)C1,53.3,nM,7.273272790973428
CHEMBL4568183,CS(=O)(=O)N1CCCC(NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc(CNc3ncnc4c3nnn4-c3ccccc3)cc2)C1,21.9,µM,7.6595558851598815
CHEMBL4097778,CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,1000.0,nM,6.0
CHEMBL5082740,Cc1c(-c2c3c(N)n[nH]c(=O)c3nn2-c2ccccc2)oc2cc(C(=O)Nc3cccc(C(F)(F)F)c3)ccc12,27.5,nM,7.560667306169737
CHEMBL5072982,CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Oc4ccc5c(c4)NC(=O)C5)c3)cc2C(F)(F)F)CC1,10.2,nM,7.991399828238083
CHEMBL5076889,CC(=O)Nc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3c2C)cc1,10.6,nM,7.97469413473523
CHEMBL5072528,Cc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3c2C)cc1,49.0,nM,7.309803919971486
CHEMBL5094596,CC(=O)Nc1cccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3c2C)c1,42.8,nM,7.368556230986828
CHEMBL5088050,Cc1c(-c2c3c(N)n[nH]c(=O)c3nn2-c2ccc(F)cc2)oc2cc(C(=O)Nc3cccc(C(F)(F)F)c3)ccc12,60.4,nM,7.218963061378869
CHEMBL5083118,CCCCNC(=O)c1ccc2c(C)c(-c3c4c(N)n[nH]c(=O)c4nn3-c3ccc(NC(C)=O)cc3)oc2c1,376.0,nM,6.424812155072339
CHEMBL5081927,CC(=O)Nc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3cc(C(=O)NC4CCCCC4)ccc3c2C)cc1,826.0,nM,6.083019952679618
CHEMBL5084624,CC(=O)Nc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3cc(C(=O)Nc4ccc(C(F)(F)F)cc4)ccc3c2C)cc1,164.0,nM,6.785156151952302
CHEMBL5075627,CC(=O)Nc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3cc(C(=O)Nc4ccccc4)ccc3c2C)cc1,235.0,nM,6.628932137728264
CHEMBL5088153,Cc1cc(NC(=O)Nc2cc(C(C)(C)C)nn2-c2ccc(Cl)cc2)ccc1Nc1ncnc2c1OC(C)(C)C(=O)N2,126.0,nM,6.8996294548824375
CHEMBL4778587,CCCNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cnn(-c3ccccc3)c2N)cc1,13600.0,nM,4.866461091629782
CHEMBL5081039,CS(=O)(=O)N1CCC[C@H](NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc(CNC(=O)c3cnn(-c4ccccc4)c3N)cc2)C1,2370.0,nM,5.6252516539898965
CHEMBL5075462,Nc1c(C(=O)NCc2ccc(C(=O)N[C@@H](CCC3CCCCC3)C(=O)NC3CCCN(C(=O)C4CC4)C3)cc2)cnn1-c1ccccc1,1310.0,nM,5.882728704344236
CHEMBL5079394,Nc1c(C(=O)NCc2ccc(C(=O)N[C@@H](CCC3CCCCC3)C(=O)NC3CCCN(C4COC4)C3)cc2)cnn1-c1ccccc1,2430.0,nM,5.614393726401688
CHEMBL5092076,CS(=O)(=O)N1CCCC(NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc(CNC(=O)c3cc(-c4ccccc4)n[nH]3)cc2)C1,39400.0,nM,4.404503778174426
CHEMBL5092902,CC(NC(=O)c1cc(-c2ccccc2)n[nH]1)c1ccc(C(=O)N[C@@H](CCC2CCCCC2)C(=O)NC2CCCN(S(C)(=O)=O)C2)cc1,16500.0,nM,4.782516055786093
CHEMBL5091850,CC(NC(=O)c1cc(-c2ccccc2)n[nH]1)c1ccc(C(=O)N[C@@H](CCC2CCCCC2)C(=O)N[C@H]2CCCN(S(C)(=O)=O)C2)cc1,45200.0,nM,4.3448615651886175
CHEMBL5090756,CC(NC(=O)c1cc(-c2ccccc2)n[nH]1)c1ccc(C(=O)N[C@@H](CCC2CCCCC2)C(=O)N[C@@H]2CCCN(S(C)(=O)=O)C2)cc1,13200.0,nM,4.87942606879415
CHEMBL5081523,CCCNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cc(-c3ccccc3)n[nH]2)cc1,10400.0,nM,4.982966660701219
CHEMBL5084386,CS(=O)(=O)N1CCCC(NC(=O)[C@H](CCC2CCCCC2)NC(=O)c2ccc(CNc3ncnc4c3cnn4-c3ccccc3)cc2)C1,1040.0,nM,5.982966660701219
CHEMBL5087073,CC(NC(=O)c1cnc2ccccn12)c1ccc(C(=O)N[C@H](CCC2CCCCC2)C(=O)NC2CCCN(S(C)(=O)=O)C2)cc1,44.0,nM,7.356547323513813
CHEMBL5094236,Cn1ncc(C(=O)NCc2ccc(C(=O)N[C@@H](CCC3CCCCC3)C(=O)NC3CCCN(S(C)(=O)=O)C3)cc2)c1N,1330.0,nM,5.876148359032914
CHEMBL5086352,CC(NC(=O)c1cnn(C)c1N)c1ccc(C(=O)N[C@@H](CCC2CCCCC2)C(=O)NC2CCCN(S(C)(=O)=O)C2)cc1,2270.0,nM,5.6439741428068775
CHEMBL5077961,Nc1nc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)c2cc(C3=CCN(C4COC4)CC3)[nH]c2n1,221.0,nM,6.655607726314889
CHEMBL5201538,CO[C@@H]1OC(=O)[C@]2(CC(=O)c3cc(O)ccc3O)C[C@H]3[C@H](C/C=C(\CC(=O)c4cc(O)ccc4O)C(=O)O)C(C=O)=CO[C@H]3[C@]12C,6900.0,nM,5.161150909262744
CHEMBL5173849,CO[C@H]1OC(=O)[C@@]2(CC(=O)c3cc(O)ccc3O)C[C@@H]3[C@@H](C/C=C(\CC(=O)c4cc(O)ccc4O)C(=O)O)C(C=O)=CO[C@@H]3[C@@]12C,8200.0,nM,5.086186147616283
CHEMBL5177284,Cc1ccc(-c2cn([C@H]3CC[C@@H](N)CC3)c3ncnc(N)c23)c(F)c1,15.0,nM,7.823908740944319
CHEMBL5176837,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cnn(C)c1,8.5,nM,8.070581074285707
CHEMBL5195469,Cc1cn(-c2cc(NC(=O)c3cc4cc(c3C)C#Cc3cnc5ccc(nn35)N(C)CCNC(=O)CCCCO4)cc(C(F)(F)F)c2)cn1,26.4,nM,7.578396073130169
CHEMBL4750687,Cc1ncc(-c2cc(Cl)ccc2F)cc1-n1c(=O)n(CC(N)=O)c2cnccc21,20.0,µM,7.698970004336019
