5SB1_Vina_Name,5SB1_Vina_Score,6FEX_KarmaDock_Name,6FEX_KarmaDock_Score,6FEW_ledock_Name,6FEW_ledock_Score,5SB1_AutodockGPU_Name,5SB1_AutodockGPU_Score,6FEW_KarmaDock_Name,6FEW_KarmaDock_Score,6FEW_AutodockGPU_Name,6FEW_AutodockGPU_Score,5SB2_AutodockGPU_Name,5SB2_AutodockGPU_Score,6FEW_Vina_Name,6FEW_Vina_Score,6FEX_ledock_Name,6FEX_ledock_Score,5SB2_KarmaDock_Name,5SB2_KarmaDock_Score,5SB2_Vina_Name,5SB2_Vina_Score,6FEX_AutodockGPU_Name,6FEX_AutodockGPU_Score,5SB2_ledock_Name,5SB2_ledock_Score,6FEX_Vina_Name,6FEX_Vina_Score,5SB1_KarmaDock_Name,5SB1_KarmaDock_Score,5SB1_ledock_Name,5SB1_ledock_Score
inh_8,-11.442,CHEMBL3422021,-71.53643798828125,inh_6.dok,-9.35,inh_29,-12.35,CHEMBL3422021,-70.68939971923828,inh_31,-11.58,inh_34,-11.92,inh_15,-10.952,inh_6.dok,-8.9,CHEMBL3422021,-69.97420501708984,inh_25,-10.195,inh_10,-11.42,inh_10.dok,-8.77,inh_34,-11.169,CHEMBL3422021,-55.64782333374024,inh_22.dok,-9.87
inh_14,-11.423,CHEMBL4097012,-105.64529418945312,inh_7.dok,-9.3,inh_44,-12.06,CHEMBL4097012,-97.33200073242188,inh_28,-11.54,inh_28,-11.9,inh_1,-10.923,inh_19.dok,-8.86,CHEMBL4097012,-94.25177764892578,inh_28,-10.194,inh_19,-11.42,inh_7.dok,-8.69,inh_21,-11.099,CHEMBL4097012,-93.40824127197266,inh_16.dok,-9.83
inh_6,-11.326,CHEMBL4571241,-98.84873962402344,inh_32.dok,-9.22,inh_1,-12.04,CHEMBL4571241,-89.97628784179688,inh_44,-11.28,inh_10,-11.83,inh_24,-10.744,inh_27.dok,-8.82,CHEMBL4571241,-78.70357513427734,inh_29,-9.93,inh_4,-11.37,inh_16.dok,-8.53,inh_3,-11.041,CHEMBL4571241,-105.7034149169922,inh_4.dok,-9.75
inh_25,-11.145,CHEMBL4161036,-146.26553344726562,inh_33.dok,-9.18,inh_25,-12.01,CHEMBL4161036,-126.9321517944336,inh_8,-11.24,inh_5,-11.79,inh_46,-10.701,inh_30.dok,-8.78,CHEMBL4161036,-117.01102447509766,inh_2,-9.849,inh_48,-11.35,inh_12.dok,-8.45,inh_5,-10.98,CHEMBL4161036,-134.5045928955078,inh_5.dok,-9.75
inh_4,-10.847,CHEMBL4068810,-89.87273406982422,inh_28.dok,-9.07,inh_45,-11.97,CHEMBL4068810,-91.85641479492188,inh_22,-11.23,inh_16,-11.73,inh_28,-10.666,inh_7.dok,-8.77,CHEMBL4068810,-90.49567413330078,inh_33,-9.766,inh_5,-11.3,inh_35.dok,-8.44,inh_24,-10.922,CHEMBL4068810,-87.29136657714844,inh_7.dok,-9.69
inh_9,-10.654,CHEMBL388978,-63.219383239746094,inh_34.dok,-9.05,inh_14,-11.91,CHEMBL388978,-45.8535270690918,inh_34,-11.21,inh_4,-11.67,inh_8,-10.66,inh_3.dok,-8.73,CHEMBL388978,-43.59288024902344,inh_42,-9.693,inh_1,-11.16,inh_5.dok,-8.4,inh_17,-10.896,CHEMBL388978,-46.23472595214844,inh_50.dok,-9.68
inh_44,-10.624,CHEMBL4553037,-98.2854995727539,inh_16.dok,-8.93,inh_2,-11.9,CHEMBL4553037,-87.5841293334961,inh_42,-11.21,inh_25,-11.64,inh_44,-10.652,inh_44.dok,-8.68,CHEMBL4553037,-92.02662658691406,inh_6,-9.691,inh_25,-11.13,inh_22.dok,-8.23,inh_8,-10.875,CHEMBL4553037,-88.19711303710938,inh_6.dok,-9.64
inh_33,-10.604,CHEMBL4568183,-92.35679626464844,inh_5.dok,-8.9,inh_33,-11.85,CHEMBL4568183,-81.02758026123047,inh_10,-11.21,inh_3,-11.5,inh_17,-10.652,inh_9.dok,-8.64,CHEMBL4568183,-80.89934539794922,inh_46,-9.627,inh_8,-11.07,inh_29.dok,-8.2,inh_44,-10.666,CHEMBL4568183,-99.20259857177734,inh_1.dok,-9.5
inh_2,-10.562,CHEMBL5176837,-40.5882682800293,inh_31.dok,-8.79,inh_42,-11.82,CHEMBL5176837,-39.82832717895508,inh_36,-11.21,inh_7,-11.47,inh_34,-10.632,inh_28.dok,-8.58,CHEMBL5176837,-42.28299331665039,inh_22,-9.556,inh_34,-11.07,inh_2.dok,-8.19,inh_6,-10.601,CHEMBL5176837,-41.82451248168945,inh_44.dok,-9.44
inh_46,-10.556,CHEMBL4795732,-85.43769836425781,inh_9.dok,-8.71,inh_4,-11.64,CHEMBL4795732,-81.15904235839844,inh_38,-11.2,inh_8,-11.25,inh_48,-10.581,inh_1.dok,-8.56,CHEMBL4795732,-83.78423309326172,inh_27,-9.54,inh_28,-11.06,inh_34.dok,-8.18,inh_20,-10.592,CHEMBL4795732,-84.07807159423828,inh_2.dok,-9.27
inh_34,-10.522,CHEMBL3422019,-127.33732604980467,inh_49.dok,-8.67,inh_22,-11.55,CHEMBL3422019,-122.55622863769533,inh_16,-11.16,inh_45,-11.2,inh_22,-10.501,inh_20.dok,-8.54,CHEMBL3422019,-117.8868408203125,inh_21,-9.437,inh_14,-10.98,inh_42.dok,-7.97,inh_22,-10.472,CHEMBL3422019,-116.16941833496094,inh_9.dok,-9.06
inh_24,-10.52,CHEMBL4247298,-94.8441925048828,inh_1.dok,-8.66,inh_7,-11.4,CHEMBL4247298,-85.74652862548828,inh_47,-11.14,inh_14,-11.16,inh_47,-10.459,inh_17.dok,-8.45,CHEMBL4247298,-93.5329360961914,inh_24,-9.31,inh_22,-10.84,inh_23.dok,-7.91,inh_4,-10.441,CHEMBL4247298,-95.30036163330078,inh_39.dok,-9.04
