5SB1_Vina_Name,5SB1_Vina_Score,6FEX_KarmaDock_Name,6FEX_KarmaDock_Score,6FEW_ledock_Name,6FEW_ledock_Score,5SB1_AutodockGPU_Name,5SB1_AutodockGPU_Score,6FEW_KarmaDock_Name,6FEW_KarmaDock_Score,6FEW_AutodockGPU_Name,6FEW_AutodockGPU_Score,5SB2_AutodockGPU_Name,5SB2_AutodockGPU_Score,6FEW_Vina_Name,6FEW_Vina_Score,6FEX_ledock_Name,6FEX_ledock_Score,5SB2_KarmaDock_Name,5SB2_KarmaDock_Score,5SB2_Vina_Name,5SB2_Vina_Score,6FEX_AutodockGPU_Name,6FEX_AutodockGPU_Score,5SB2_ledock_Name,5SB2_ledock_Score,6FEX_Vina_Name,6FEX_Vina_Score,5SB1_KarmaDock_Name,5SB1_KarmaDock_Score,5SB1_ledock_Name,5SB1_ledock_Score
decoy_2400,-10.496,decoy_2470,-64.7900390625,decoy_2344.dok,-9.32,decoy_1972,-12.45,decoy_2470,-65.23905944824219,decoy_2499,-11.97,decoy_1019,-11.85,decoy_2032,-10.739,decoy_1516.dok,-9.1,decoy_2470,-70.48664093017578,decoy_268,-9.88,decoy_2442,-11.82,decoy_757.dok,-8.62,decoy_2464,-10.792,decoy_2470,-72.47881317138672,decoy_1378.dok,-9.6
decoy_1786,-10.495,decoy_2044,-83.09709167480469,decoy_2006.dok,-9.32,decoy_785,-12.45,decoy_2044,-74.43325805664062,decoy_799,-11.97,decoy_537,-11.85,decoy_332,-10.739,decoy_2386.dok,-9.09,decoy_2044,-68.75782012939453,decoy_131,-9.876,decoy_1526,-11.81,decoy_1520.dok,-8.62,decoy_1261,-10.79,decoy_2044,-75.47701263427734,decoy_1684.dok,-9.6
decoy_2178,-10.493,decoy_1454,-55.37403869628906,decoy_2482.dok,-9.32,decoy_1056,-12.45,decoy_1454,-52.86087417602539,decoy_1546,-11.97,decoy_1520,-11.85,decoy_2279,-10.739,decoy_2071.dok,-9.09,decoy_1454,-56.41361618041992,decoy_1611,-9.874,decoy_1791,-11.8,decoy_88.dok,-8.62,decoy_1039,-10.789,decoy_1454,-51.52120208740234,decoy_84.dok,-9.59
decoy_350,-10.49,decoy_2492,-51.38388442993164,decoy_1028.dok,-9.32,decoy_1614,-12.44,decoy_2492,-45.06477355957031,decoy_2461,-11.97,decoy_1018,-11.85,decoy_742,-10.737,decoy_2490.dok,-9.09,decoy_2492,-64.69245910644531,decoy_1884,-9.872,decoy_1610,-11.79,decoy_1535.dok,-8.61,decoy_1788,-10.789,decoy_2492,-46.62178039550781,decoy_1951.dok,-9.59
decoy_1794,-10.487,decoy_1601,-69.94766235351562,decoy_1781.dok,-9.32,decoy_1075,-12.44,decoy_1601,-63.08799743652344,decoy_822,-11.97,decoy_1593,-11.85,decoy_972,-10.734,decoy_2390.dok,-9.09,decoy_1601,-66.60269927978516,decoy_970,-9.864,decoy_2348,-11.79,decoy_990.dok,-8.61,decoy_621,-10.786,decoy_1601,-59.78093719482422,decoy_1546.dok,-9.59
decoy_2140,-10.483,decoy_1002,-66.51383972167969,decoy_1247.dok,-9.32,decoy_476,-12.44,decoy_1002,-68.91752624511719,decoy_1886,-11.97,decoy_1965,-11.85,decoy_1032,-10.728,decoy_2205.dok,-9.09,decoy_1002,-64.18175506591797,decoy_820,-9.862,decoy_2288,-11.79,decoy_1233.dok,-8.61,decoy_1028,-10.786,decoy_1002,-63.94752502441406,decoy_1228.dok,-9.58
decoy_1686,-10.482,decoy_1671,-82.88600158691406,decoy_1909.dok,-9.32,decoy_909,-12.44,decoy_1671,-71.36016845703125,decoy_1519,-11.97,decoy_1506,-11.84,decoy_1265,-10.728,decoy_2300.dok,-9.09,decoy_1671,-72.50245666503906,decoy_2253,-9.862,decoy_943,-11.79,decoy_575.dok,-8.61,decoy_1157,-10.785,decoy_1671,-84.90448760986328,decoy_1821.dok,-9.58
decoy_1186,-10.476,decoy_1149,-56.40258026123047,decoy_1681.dok,-9.32,decoy_231,-12.43,decoy_1149,-60.11154174804688,decoy_1695,-11.97,decoy_1131,-11.84,decoy_2467,-10.725,decoy_2432.dok,-9.09,decoy_1149,-60.428009033203125,decoy_1605,-9.859,decoy_2329,-11.79,decoy_2483.dok,-8.6,decoy_1667,-10.784,decoy_1149,-59.33359909057617,decoy_1523.dok,-9.58
decoy_888,-10.476,decoy_531,-36.69834899902344,decoy_1312.dok,-9.31,decoy_2433,-12.43,decoy_531,-37.23321914672852,decoy_2035,-11.96,decoy_1099,-11.84,decoy_219,-10.725,decoy_1777.dok,-9.09,decoy_531,-45.30221176147461,decoy_537,-9.854,decoy_2013,-11.79,decoy_1947.dok,-8.6,decoy_205,-10.782,decoy_531,-41.43985366821289,decoy_1001.dok,-9.58
decoy_1305,-10.475,decoy_1659,-84.86109924316406,decoy_643.dok,-9.31,decoy_2068,-12.43,decoy_1659,-80.59078979492188,decoy_1907,-11.96,decoy_285,-11.84,decoy_1848,-10.725,decoy_279.dok,-9.08,decoy_1659,-83.2706298828125,decoy_688,-9.853,decoy_1666,-11.79,decoy_1262.dok,-8.6,decoy_316,-10.782,decoy_1659,-87.77702331542969,decoy_757.dok,-9.58
